project_id,budget,duration_months,employees_impacted,training_hours,communication_score,success_flag,leadership_alignment,project_management,historical_success_rate,risk_mitigation,avg_employee_salary,disengagement_cost,operational_risk_cost
PRJ-001,31212204,29,689,131,3.2,1,0,0,82.27,61.21,47374,6528137.2,6469239.833526317
PRJ-002,45218808,27,3563,21,3.6,1,1,0,76.07,24.95,81317,57946494.2,14224154.626489397
PRJ-003,141117627,48,4700,82,2.1,0,0,0,11.67,37.99,97935,92058900.0,46550180.45893138
PRJ-004,49362825,34,1327,160,3.6,0,1,1,9.29,32.82,67466,17905476.400000002,6943042.111867585
PRJ-005,199018613,6,2509,52,1.5,0,0,0,28.92,88.18,52693,26441347.400000002,45216943.887817964
PRJ-006,149196408,43,1886,60,3.6,0,1,1,53.9,67.99,83243,31399259.6,17358076.777524553
PRJ-007,120722140,45,3384,48,3.6,1,0,0,88.89,41.69,97720,66136896.0,59165888.48431746
PRJ-008,111786867,37,1026,184,1.4,1,1,1,53.7,55.07,78044,16014628.8,55785521.59478385
PRJ-009,84378550,39,715,137,1.7,1,0,0,74.3,8.15,66637,9529091.0,33675123.28249708
PRJ-010,72843611,9,4108,141,4.5,1,0,0,54.42,97.38,45917,37725407.2,11466179.613391398
PRJ-011,156554437,28,1694,152,1.3,1,0,0,2.95,80.48,58505,19821494.0,26746012.461509917
PRJ-012,188171667,33,55,159,3.7,0,1,0,17.23,72.68,82875,911625.0,46156919.10404781
PRJ-013,178633706,19,4576,55,2.8,0,0,1,30.37,41.34,42529,38922540.800000004,32872210.986765906
PRJ-014,32687122,31,3361,155,1.1,0,0,0,88.53,38.25,69683,46840912.6,14147791.411831303
PRJ-015,199339490,37,2392,119,1.3,1,1,1,77.17,14.85,95155,45522152.0,40011153.56132511
PRJ-016,73984570,26,2303,83,3.0,0,0,0,42.22,27.57,64294,29613816.400000002,35133918.81887768
PRJ-017,36413141,42,609,111,4.5,0,0,1,87.88,34.69,63803,7771205.4,15025193.03658835
PRJ-018,124764936,3,3305,92,3.0,0,0,1,67.36,99.81,55942,36977662.0,38723816.730346166
PRJ-019,138380417,36,1265,188,4.3,1,0,1,62.73,31.85,100374,25394622.0,14334929.14984004
PRJ-020,188176234,31,3552,115,4.2,0,0,1,81.21,59.24,76269,54181497.6,48521889.15049283
PRJ-021,144867299,20,4195,160,2.2,1,1,1,86.1,31.52,70619,59249341.0,51011720.00327245
PRJ-022,76275314,17,773,85,3.6,0,0,0,9.14,26.1,41004,6339218.4,13242955.114665637
PRJ-023,59888765,16,331,174,4.7,0,1,1,88.65,40.84,102076,6757431.2,6941006.0340298945
PRJ-024,45245284,45,3058,108,4.0,0,1,1,38.34,59.27,42458,25967312.8,7734594.31462139
PRJ-025,92411229,24,3016,24,4.4,1,1,0,4.07,78.56,95216,57434291.2,19758802.621651243
